DAL MavericksatCHA HornetsTODAY 1:00PM		
PLAYER	OVER	UNDER
Dennis Smith Jr.	O 12.5  −130	U 12.5  +100
Dwight Powell	O 7.5  +100	U 7.5  −130
Gordon Hayward	O 16.5  −120	U 16.5  −110
Kyrie Irving	O 24.5  −110	U 24.5  −120
Luka Doncic	O 30.5  −110	U 30.5  −120
PJ Washington	O 18.5  −110	U 18.5  −120
Reggie Bullock	O 7.5  −125	U 7.5  −105
CHI BullsatLA LakersTODAY 3:30PM		
PLAYER	OVER	UNDER
Anthony Davis	O 26.5  −125	U 26.5  −105
DeMar DeRozan	O 22.5  −125	U 22.5  −105
Nikola Vucevic	O 16.5  −120	U 16.5  −110
Patrick Beverley	O 6.5  +105	U 6.5  −135
Zach LaVine	O 26.5  −120	U 26.5  −110
HOU RocketsatCLE CavaliersTODAY 6:00PM		
PLAYER	OVER	UNDER
Alperen Sengun	O 12.5  −130	U 12.5  +100
Darius Garland	O 20.5  −125	U 20.5  −105
Donovan Mitchell	O 26.5  −120	U 26.5  −110
Evan Mobley	O 17.5  −110	U 17.5  −120
Isaac Okoro	O 7.5  −105	U 7.5  −125
Jabari Smith	O 13.5  −125	U 13.5  −105
Jalen Green	O 21.5  −110	U 21.5  −120
Jarrett Allen	O 13.5  −110	U 13.5  −120
Kenyon Martin Jr.	O 13.5  −130	U 13.5  +100
Kevin Porter Jr.	O 16.5  −115	U 16.5  −115
SA SpursatBOS CelticsTODAY 6:00PM		
PLAYER	OVER	UNDER
Al Horford	O 10.5  −110	U 10.5  −120
Devin Vassell	O 17.5  −115	U 17.5  −115
Jaylen Brown	O 27.5  −120	U 27.5  −110
Zach Collins	O 13.5  −125	U 13.5  −105
WAS WizardsatTOR RaptorsTODAY 6:00PM		
PLAYER	OVER	UNDER
Daniel Gafford	O 10.5  +100	U 10.5  −130
Fred VanVleet	O 20.5  −120	U 20.5  −110
Jakob Poeltl	O 14.5  −115	U 14.5  −115
Kristaps Porzingis	O 24.5  −120	U 24.5  −110
OG Anunoby	O 15.5  −110	U 15.5  −120
Pascal Siakam	O 23.5  −125	U 23.5  −105
MIN TimberwolvesatGS WarriorsTODAY 8:30PM		
PLAYER	OVER	UNDER
Draymond Green	O 9.5  +105	U 9.5  −135
Kevon Looney	O 8.5  +105	U 8.5  −135
Klay Thompson	O 21.5  −125	U 21.5  −105
Stephen Curry	O 29.5  −105	U 29.5  −125